# 11b5L
#  the book of Isaiah
# zavTu transliteration
# by john.david jones
# ozazL
#
#  abcde
#  fghij
#  kLmno
#  pqrsT
#  tuvxz
#--
#  a as in father
#  b as in baby
#  c as in chess
#  d as in day
#  e as in help
#  f as in father
#  g as in good
#  h as in hello 
#  i as in me
#  j as in jupiter
#  k as in katherine
#  L as in lamb
#  m as in make
#  n as in now
#  o as in open 
#  p as in padre
#  q as in quickly
#  r as in rope
#  s as in simple
#  T like Today
#  t as in thanks
#  u as in Tube
#  v as in very
#  x as is nexT
#  z as in zebra
#--
#  one syllable per vowel
#  ubzeiu -> ub-ze-i-u  
#-----------------------ch 1
my : eLemza
courts : juoztaT
no : iL
more : nefa
. : .
bringing : upzuLkuLka
offerings : buahsavuT
to_be : uamu
futile (adj) : hitenamo
. : .
incense : guLjamhi
to_be : uamu
a : a
abomination : epanuLeduum 
to : tu
me : eLem
. : .
new : oife
moon : nimo
and : oxe 
sabbath : fopeTa
and : oxe
calling (noun) : gujonmouLka
of : asu
convocation : ququoh
, : ,
i : eLe
not : mot
to_be_able : tupaepna
to_endure : uiLTivu
solemn (adj) : funaLaLa
assemblies : ehinpamuT
with : qemhe
iniquity : ruLukoeti
. : .
your : femaza
new : oife 
moons : nimoT
and : oxe
appointed (adj) : ebaemditmo
festivals : hafduremim
my : eLemza
soul : feima
to_hate : uzesou
. : .
they : mi
have : ueLanad
to_become (past) : upajuLao
a : a
burden : pivtiL
to : tu
me : eLem
. : .
i : eLe
to_be : uamu
weary (adj) : zaezumo
of : asu
bearing : upaezuLka
them : miim
. : .
when : qom
you : fema
to_stretch : ufdavatexu
out : aut
your : femaza
hands : qafeT
, : ,
i : eLe
will : danaLeu
to_hide : useTau
my : eLemza
eyes : fenaneT
from : hazani
you : fema
. : .
even : iriL
though : duoqufa
you : fema
to_make : uLaqau
many : boncaL
prayers : cubzeiT
i : eLe
will : danaLeu
not : mot
to_listen : unefdiLu
. : .
your : femaza
hands : qafeT
to_be : uamu
full (adv) : hinmazi
of : asu
blood : zave
. : .
wash (imp) : uzofafa
yourselves : buuozhanrihuT
. : .
to_make (imp) : uLaqaa
yourselves : buuozhanrihuT
clean (adj) : bistohmo
. : .
to_remove (imp) : uvaLuzaa
the : da
evil : vuirum
of : asu
your : femaza
doings : TuuLkaT
from : hazani
before (prep) : pahuvin
my : eLemza
eyes : fenaneT
. : .
to_cease (imp) : ujaehia
to_do : tuTuu
evil : vuirum
. : .
to_learn (imp) : unaozmaa
to_do : tuTuu
good : okuat
. : .
to_seek (imp) : ufaiga
justice : exifduxi
. : .
to_rescue (imp) : uvafexoa
the : da
oppressed (pl) : abibzihaTaT
. : .
to_defend (imp) : uTahamta
the : da
orphan : azhom
. : .
to_plead (imp) : ubmioTa
for (conj) : huvupu
the : da
widow : zaTuz
. : .
to_come (imp) : ujuLaa
now : mit
, : ,
to_let (imp) : unata
us : La
to_reason : uvaehamu
this : def
out : aut
. : .
to_say : ubofu
the : da
Lord : etme
. : .
though : duoqufa
your : femaza
sins : timduT
to_be : uamu
like : qiuL
scarlet : fugeznat
they : mi
shall : ufanmu
to_be : uamu
like : qiuL
snow : niLu
. : .
though : duoqufa
they : mi
to_be : uamu
red : vaTumo
like : qiuL
crimson : qazunfum
they : mi
shall : ufanmu
to_become : upajuLau
like : qiuL
wool : zuam
. : .
if : fux
you : fema
to_be : uamu
willing (adj) : zenmuLkamo
and : oxe
obedient (adj) : cueLTzunimo
then : fenmaem
you : fema
shall : ufanmu
to_eat : ueiqamau
the : da
good (noun): okuat
of : asu
the : da
land : nomto
. : .
but : pit
if : fux
you : fema
to_refuse : uvahifu
and : oxe
to_rebel : uvapanu
then : fenmaem
you : fema
shall : ufanmu
to_be  : uamu
devoured : cuTazuozni
by : pi
the : da
sword : fazasa
for (conj) : huvupu
the : da
mouth : LuoTu
of : asu
the : da
Lord : etme
have : ueLanad
to_speak (past) : ubisio
. : .
how : suo
the : da
faithful (adj) : houThinmo
city : qooLboLqo
have  ueLanad
to_become (past) : upajuLao
a : a
whore : zufaz
. : .
she : so
that : idta
to_be (past) : uamo
full (adj) : hinmamo
of : asu
justice : exifduxi
, : ,
righteousness : vekfataafmafha
to_lodge (past) : unuTqio
in : uL
her : soL
, : ,
but : pit
now : mit
murderers : Livtizazim
. : .
your : femaza
silver : fenriz
have : ueLanad
to_become (past) : upajuLao
dross : Tuzahfa
. : .
your : femaza
wine : zeume
to_be :  uamu
mixed : cuLecuni
with : qemhe
water : zife
. : .
your : femaza
princes : bazuLjaT
of : asu
to_be  uamu
rebels : cuvpanuT
and : oxe
companions : juLbeLuumim
of : asu
thieves : dehaT
. : .
everyone : qiugqe
to_love : uvoqofdeu
a : a
bribe : pazupi
and : oxe
to_run : uvimu
after  (prep) : estazin
gifts : kehduT
. : .
they : mi
to_do : utuTuu
not : mot
to_defend : uTahamtu
the : da
orphan : azhom
and : oxe
the : da
cause (noun) : ojoohi
of : asu
the : da
widow : zaTuz
to_do : utuTuu
not : mot
to_come : ujuLau
before (prep) : pahuvin
them : miim
. : .
therefore : izqu
to_say : ubofu
the : da
sovereign : fuzavaukma
, : ,
the : da 
Lord : etme
of : asu
hosts : sufduT
, : ,
the : da
mighty : Lekfatimo
one : eLikam 
of : asu
israel : israeL
' : ' qi
ah : ah
, : ,
i : eLe
will : danaLeu
to_pour : ubuomu
out : aut
my : eLemza
wrath : zazeTa
on : aL
my : eLemza
enemies : iLinuT 
and : oxe
to_avenge : ueriLkau
myself : Lifansu
on : aL
my : eLemza
foes : huihim
. : .
' : qu '
i : eLe
will : danaLeu
to_turn : utivLu
my : eLemza
hand : qafe
against : egeemhutu
you (pl) :  femaT
. : .
i : eLe
will : danaLeu
to_smelt (fut) : ufnimti
away : ereizi
all : bom
your : femaza
dross : Tuzahfa
as : eh
with : qemhe
lye : nebae
and : oxe
to_remove (fut) : uvaLuzai
all : bom
your : femaza
alloy : emnuu
. : .
and : oxe
i : eLe
will : danaLeu
restore : uvafdazu
your : femaza
judges : cuxiTqihuT
as : eh
at : ed
the : da
first : guLikagni
and : oxe
counselors : juoLfanuvim
as : eh
at : ed
the : da
beginning : cupakemu
. : .
after  (prep) : estazin
this : def
you : fema
shall : ufanmu
to_be (fut) : uami
called : pujojnamauni
the : da
city : qoiboLqe
of : asu
righteousness : vekfataafmafha
, : ,
the : da
faithful : houThinmo
city : qoiboLqe
. : .
' : qu '
zion : zion
shall : ufanmu
to_to_be : tupa
redeemed : puvaTaini
by : pi
justice : exifduxi
and : oxe
those : dufa
in : uL
her : soL
who : qiqo
to_repent : uvabamdu
by : pi
righteousness : vekfataafmafha
. : .
but : pit
rebels : cuvpanuT
and : oxe
sinners : butimduT
shall : ufanmu
to_to_be : tupa
destroyed : cutisutuni
together (adv) : kuftafhezizi
and : oxe
those : dufa
who :  qiqo
to_forsake : uhuvhegiu
the : da
Lord : etme
shall : ufanmu
to_to_be : tupa
consumed : cufiateuni
. : .
for (conj) : huvupu
you : fema
shall : ufanmu
to_to_be : tupa
ashamed (adj) : rufafenimo
of : asu
the : da
oaks : tonLuT
in : uL
which : zexu
you : fema
delighted : cuTanekfatni
and : oxe
you : fema
shall : ufanmu
to_blush : upmofasu
at : ed
the : da
gardens : kovtiLaT
that : idta
you : fema
to_choose (past) : ujirao
. : .
for (conj) : huvupu
you : fema
shall : ufanmu
to_to_be : tupa
like : qiuL
a : a
oak : tonLu
whose : fahiza
leaf : naehu
to_wither : uzedavu
and : oxe
like : qiuL
a : a 
garden : kovTiLa
without : zeduodzi
water : zife
. : .
the : da
strong (noun, pl): ozosroTim
shall : ufanmu
to_become : upajuLau
like : qiuL
tinder : demtiz
and : oxe
their : miza
work (noun) : ozuvgu
like : qiuL
a : a
spark : fabezqu
. : .
they : mi
and : oxe
?heir : miza
work (noun) : ozuvgu
shall : ufanmu
to_burn : upivLu
together : kuftafhezi
with : qemhe
no : iL
one : eLikam
to_to_quench : tugiLjasu
them : bo
. : .. : .bo
#----------------------------ch 2
the : da
word : zavTu 
that : idta
isaiah : isaiah
son : buuge
of : asu
amoz : amoz
to_see (past) : uzeTo
concerning : ujumexizmuLka
judah : judah
and : oxe
jerusalem : jerusaLem
. : .
in : uL
days : baurit
to_come (fut) : ujuLai
the : da
mountain : ziazu 
of : asu
the : da
house : gatonu 
of : asu
the : da
Lord : etme
shall : ufanmu
to_to_be : tupa
established : ruihtopmuhsuni
as : eh
the : da
highest : sekfamomo
of  : asu
mountains : ziazuT
and : oxe
shall : ufanmu
to_to_be : tupa
raised : cuvouhitni
above : epari
the : da
hills : LaqeT
. : .
and : oxe
all : bom
nations : moteuLim
shall : ufanmu
to_stream : ufdavaenu
to : tu
it : fa
. : .
many : boncaL
peoples : kuunimim
shall : ufanmu
to_come : ujuLau
and : oxe
to_say : ubofu
' : ' qi
to_come (imp) : ujuLaa
to_let imp) : unata
us : La
to_go : uLamLu
up : maoho
to : tu
the : da
mountain : ziazu
of : asu
the : da
Lord : etme
, : ,
to : tu
the: da
house : gatonu
of : asu
the : da
god : kut
of : asu
jacob : jakob
, : ,
that : idta
he : sa
may : Lou
to_teach : utaexasu
us : La
his : saLza
ways : zouT
and : oxe
that : idta
we : Lam
may : Lou
to_walk : uzongu
in : uL 
his : saLza
paths : bodim
. : .
' : qu '
for (conj) : huvupu
out : aut
of : asu
zion : zion 
shall : ufanmu
to_go : uLamLu
forth (adv) : huvaTzi
instruction : abidohu
and : oxe
the : da
word : zavTu
of : asu
the : da
Lord : etme
from : hazani
jerusalem : jersaLem
. : .
he : sa
shall : ufanmu
to_judge : ucuxiTqihuu
between : zamefhe
the : da
nations : moteuLim
and  : oxe
he : aL
shall : ufanmu
to_arbitrate  : uezpetzediu
for (prep) : huvuin
many : boncaL
peoples : kuunimim
. : .
they : mi
shall : ufanmu
to_hammer : usoLnizu
their : miza
swords : fazasaT
into : duLtu
plowshares : bamarfafezim
and : oxe
their : miza
spears : fabiovim 
into : duLtu
pruning : cubzoLuLka
hooks : suagim
. : .
nation : moteuL
shall : ufanmu
not : mot
to_lift : unehdu
up : maoho
sword : fazasa
against : egeemhutu
nation : moteuL
, : ,
neither : mauTiz
shall : ufanmu
they : mi
to_learn : unaozmau
war : futo
any : eLu
more : nefa
. : .
o :  o
house : gatonu
of : asu
jacob : jakob
, : ,
to_come (imp) : ujuLaa
to_let (imp) : unata
us : La
to_walk : uzongu
in : uL
the : da
light : nekfuta
of : asu
the : da
Lord : etme
. : .
for (conj) : huvupu
you (pl): femaT
have : ueLanad
to_forsake (past) : uhuvhegio
the : da
ways : zouT
of : asu
your (pl) : femaTza
people : kuunim
, : ,
o : o
house : gatonu
of : asu
jacob : jakob
. : .
indeed : tuTanme
they : mi
to_be : uamu
full : hinmazi
of : asu
diviners : TuTezemaT
from : hazani
the : da
east : ude
and : oxe
of : asu
soothsayers : pufidheiT
like : qiuL
the : da
philistines : fiLisTinim
and : oxe
they : mi
to_clasp : ujmohbu
hands : qafeT
with : qemhe
strangers : fadvemqizim
. : .
their : miza
land : nomta
to_be : uamu
filled : buhenmuni
with : qemhe
silver : fenriz
and : oxe
gold : qinde
and : oxe
there : dava
to_be : uamu
no :  iL
end : iLTu
to : tu
their : miza
treasures : bataziofivim
, : ,
their : miza
land : nomta
to_be : uamu
filled : buhenmuni
with : qemhe
horses : suvhiT
and : oxe
there : dava
to_be : uamu
no : iL
end : iLTu
to : tu
their : miza
chariots : joveadim
. : .
their : miza
land : nomta
to_be : uamu
filled : buhenmuni
with : qemhe
idols : utamfaT
. : .
they : mi
to_bow : uopuzu
down : TuzLa
to : tu
the : da
work (noun) : ozuvgu
of : asu
their : miza
own : armu
hands : qafeT
, : ,
to : tu
what : Leta
their : miza
fingers : fuvniT
have : ueLanad
to_make (past) : uLaqao
. : .
and : oxe
so : fu
people : kuunim
to_be : uamu
humbled : gusiLpnani
and : oxe
everyone : qougqe
to_be : uamu
brought : cupzuLkouni
low (adv) : nuzazi
, : ,
to_do (imp) : utuTua
not : mot
to_forgive : uhuvquru
them : miim
. : .
to_enter (imp) : uiLtava
into : duLtu
the : da
rock : vuqa
and : oxe
to_hide (imp) : useTaa
in : uL
the : da
dust : Tifta
from : hazani
the : da
terror : tavzaz
of : asu
the : da
Lord : etme
and : oxe
from : hazani
the : da
glory : kumazu
of : asu
his : saLza
majesty : Loxafdu
. : .
the : da
haughty (adj) : sooqasdumo
eyes : fennaT
of : asu
the : da
people : kuunim
shall : ufanmu
to_to_be : tupa
brought : cupzuLkouni
low : nuzazi
and : oxe
the : da
pride : bazuti
of : asu
everyone : qiugqe
shall : ufanmu
to_to_be : tupa
humbled : gusiLpnani
and : oxe
the : da
Lord : etme
alone : emaLi
will : danaLeu
to_to_be : tupa
exalted : ruijemtiTani
on : aL
that : idta
day : bauri
. : .
for (conj) : huvupu 
the : da
Lord : etme
of : asu
hosts : sufduT
to_have : utuseu
a : a
day : bauri
against : egeemhutu
all : bom 
that : idta
to_be : uamu
proud : bazaiTmo
and : oxe
lofty : nuhdimo
, : ,
against : egeemhutu
all : bom
that : idta 
to_be : uamu
lifted : cunehduni
up : maoho
and : oxe
high : sekfamo
, : ,
against : egeemhutu
all : bom
of : asu
the : da
cedars : cedarim
of : asu
Lebanon : Lebanon
lofty : nuhdimo
and : oxe
lifted : cunehduni
up : maoho
and : oxe
against : egeenmhutu
all : bom
the : da
oaks : tonLuT
of : asu
Bashan : basan
, : ,
against : egeemhutu
all : bom
the : da
high : sekfamo
mountains : ziazuT
and : oxe
against : egeemhutu
all : bom 
the : da
lofty : nuhdimo
hills : LaqeT
, : ,
against : egeemhutu
every : exuqo
high : sekfamo
tower : duvLu
and : oxe
against : egeemhutu
every : exuqo
fortified (adj) : quhuvdusimo
wall : zenma
, : ,
against : egeemhutu
all : bom
the : da
ships : noureT
of : asu
Tarshish : Tarsis
and : oxe
against : egeemhutu
all : bom
the : da
beautiful : qooLuhmo
craft (noun, pl) : oqazestaT
. : .
the : da
haughtiness : sooqasdumoma
of : asu
the : da
people : kuunim
shall : ufanmu
to_to_be : tupa
humbled : gusiLpnani
and : oxe
the : da
pride : bazuti
of : asu
everyone : qougqe
shall : ufanmu
to_to_be : tupa
brought : cupzuLkouni
low : nuzazi
. : .
and : oxe
the : da
Lord : etme
alone : emaLi
will : danaLeu
to_to_be : tupa
exalted : ruijemtiTani
on : aL 
that : idta
day : bauri
. : .
the : da
idols : utamfaT
shall : ufammu
utterly (adv) : bodtavzi
to_pass : ubofhau
away : ereizi
. : .
to_enter (imp) : uiLtava
the : da
caves : jozaT
of : asu
the : da
rocks : vuqaT
and : oxe
holes : sunaT
of : asu
the : da
ground : kizaimtu
from : hazani
the : da
terror : tavzaz
of : asu
the : da
Lord : etme
and : oxe
from : hazani
the : da
glory : kumazu
of : asu
his : saLza
majesty : Loxafdu
when : qemhe
he : sa
to_rise : uveru
to_terrify : utavzazu
the : da
earth : iovTa
. : .
on : aL
that : idta
day : bauri
the : da
people : kuunim
will : danaLeu
to_throw : udzaru
away : ereizi
to : tu
the : da
moles : Lunim
and : oxe
to : tu
the : da
bats : potim
the : idols 
idols : utamfaT
of : asu
silver : fenriz
and : oxe
the : da
idols : utamfaT
of : asu
gold : qinde
which : zexu
they : mi
to_make (past) : uLaqao
for (conj) : huvupu
themselves : daLhinhim
to_to_worship : tubouraLtou
, : ,
to_to_enter : tuiLtavi
the : da
caverns : jozavLim
of : asu
the : da
rocks : vuqaT
and : oxe
the : da
clefts : qamistuT
of : asu
the : da
crags : qazekim
from : hazani
the : da
terror : tavzaz 
of : asu
the : da
Lord : etme
and : oxe
from : hazani
the : da
glory : kumazu
of : asu
his : saLza
majesty : Loxafdu
when : qom
he : sa
to_arise  : uezuhiu
to_terrify : utavzazi
the : da
earth : iovTa
. : .
to_turn (imp) : utivLa
away : ereizi
mortals : Luvtomim
who : qiqo
to_have : utuseu
only : oemueni
breath :  ocupziodu
in : uL
their : miza
nostrils : mufdavenim
, : ,
'? : '? qqi
for (conj) : huvupu
what : Leta
significance : fekLusjomexi
to_be : uamu
they : mi 
'? : qqu '?
. : .. : .bo
#--------------------------------ch 3
for (conj) : huvupu
now : mit
the : da
sovereign : fuzafaukma
the : da
lord : etme
of : asu
hosts : sufduT
to_be : uamu
taking : utoqauLka
away : ereizi
from : hazani
jerusalem : jerusaLem
and : oxe
from : hazani
judah : judah
support : pufibuvdu
and : oxe
staff : fadesha 
. : .
all : bom
support : pufibuvdu
of : asu
bread : naube
and : oxe
all : bom
support : pufbuvdu
of : asu
water : zife
, : ,
warrior : zovzuuv
and : oxe
soldier : funtuavif
, : ,
judge : cuxiTqihu
and : oxe
prophet : bisaLeihu
, : ,
diviner : TuTezema
and : oxe
elder : imTav
, : ,
captain : jobdeem
of : asu
fifty : eLipiTam
and : oxe
dignitary : TekLudeza
, : ,
counselor : juoLfanuv
and : oxe
skillful : fuqumnahom
magician : LokejeeL
and : oxe
expert (adj) : ijbavdamo
enchanter : iLjomdiz
. : .
and : oxe
i : eLe
will : danaLeu
to_make (fut) : uLaqai
boys : puuT
to_to_be : tupa
their : miza
princes : bazuLjaT
and : oxe
babes : popiT
shall : ufanmu
to_rule : uvinau
over : ariz
them : miim
. : .
the : da
people : kuunim
will : danaLeu
to_to_be : tupa
oppressed : TuabvafaTni
, : ,
everyone : qougqe
by : pi
another : tuuLiL
and : oxe
everyone : qougqe
by : pi 
a : a
neighbor : moebozu
. : .
the : da
youth : ruuoTa
will : danaLeu
to_to_be : tupa
insolent (adv) : duLfunamduzi
to : tu
the : da
elder : imTav
and : oxe
the : da
base : pofa
to : tu
the : da
honorable : sumuvopmimo
. : .
someone : fuLaaLi
will : danaLeu
to_seize  : ufauviu
a : a
relative : vanetez
a : a
member : LaLpiz
of : asu
the : da
clan : fiqi
and : oxe
to_say : ubofu
' : ' qi
you : fema
to_have : utuseu
a : a
cloak : qamaoqa
. : .
you : fema
shall : ufanmu
to_be : uamu
our : Lamza
leader : noatiz
and : oxe
this : def
heap : saeba 
of : asu
ruins : vooLuT
shall : ufanmu 
to_be : uamu
under : boLTavin
your : femaza
rule : cuvinai
. : .
' : qu '
but : pit
the : da
other : aTiz
will : danaLeu
to_cry : ujzuu
out : aut
on : aL
that : idta
day : bauri
to_say : ubofu
' : ' qi
i : eLe
will : danaLeu
not : mot
to_to_be : tupa
a : a
healer : rusaemura
. : .
in : uL
my : eLemza
house : gatonu
there : dava
to_be : uaamu
neither : mauTiz
bread : naube
nor : muz
cloak : qamaoqa
. : .
you (pl) : femaT
shall : ufanmu
not : mot
to_make : uLaqau
me : eLem
the : da
leader : noatiz
of : asu
the : da
people : kuunim
. : . : . : .: . : .
' : qu ' 
for (conj) : huvupu
jerusalem : jerusaLem
have : ueLanad
to_stumble (past) : ufdinapnio
and : oxe
judah : judah
to_fall (past) : uhonmo
because : qufge
their : miza
speech : bubisio
and : oxe
their : miza
deeds : Taitim
to_be : uamu
against : egeemhutu
the : da
Lord : etme
defying : uTahiuLka
his : saLza
glorious : kumazuuohmo
presence : bazihiLja
. : .
the : da
look : nuag
on : aL
their : miza
faces : qofradim
to_bear : upaezu
witness : zetLiha
against : egeemhutu
them : miim
. : .
they : mi
to_proclaim : ubzaxmounu
their : miza
sins : timdu
like : qiuL
sodom : sodom
, : ,
they : mi
to_do : utuTuu
not : mot
to_hide : useTau
it : fa
. : .
woe : zui
to : tu
them : miim
. : .
for (conj) : huvupu
they : mi
have ; ueLanad
to_bring (past) : upzuLko
evil : vuirum
on : aL
themselves : daLhinhim
. : .
to_tell (imp) : uqavdua
the : da
innocent (noun , pl) : oquLnujamduT
how :  suo
fortunate (adj) : huvdoLedimo
they : mi
to_be : uamu
for (conj) : huvupu
they : mi
shall : ufanmu
to_eat : ueiqmu
the : da
fruit : hazoet
of : asu
their :  miza
labors : punopuviuT
. : .
woe : zui
to : tu
the : da
guilty (n, pl) : okiumtiT
. : .
how : suo
unfortunate : iLhuvdoLedimo
they : mi
to_be : uamu
for (conj) : huvupu 
what : Leta
their : miza
hands : qafeT
have : ueLanad
to_do (past) : utuTuo
shall : ufanmu
to_to_be : tupa
done : cutuTuuni
to : tu
them : miim
. : .
my : eLamza
people : kuunim
, : ,
children : jentuuT
to_be : uamu
their : miza
opprssors : abvafavim
and : oxe
women : zuLomim
to_rule : uvinau
over : ariz
them : miim
. : .
o : o
my : eLemza
people : kuunim
, : ,
your (pl) : femaTza
leaders : noatizim
to_mislead : uLefnoatu
you (pl) : femaT
and : oxe
to_confuse : ujumsohu
the : da
course : juozfa
of : asu
your (pl)  femaTza
paths : bodim
. : .
the : da
Lord : etme
to_rise : uveru
to_to_argue : tuezkiu
his : saLza
case : jofa
. : .
he : sa
to_stand : uqomdeu
to_to_judge : tucuxiTqihuu
the : da
peoples : kuunimim
. : .
the : da
Lord : etme
to_enter : uiLtavu
into : duLtu
judgement : tianeu
with : qemhe
the : da
elders : imTavim
and : oxe
princes : bazuLjaT
of : asu
his : saLza
people : kuunim
. : .
it : fa
to_be  uamu
you (pl) : femaT
who : qiqo
have : ueLanad
to_devour (past) : uTazuouzo
the : da
vineyard : zemaiovTa
. : .
the : da
booty : puadu
of : asu
the : da
poor (pl) : bauzim
to_be : uamu
in : uL
your (pl) : femaTza
houses :  gatonuT
. : .
'?  : qqi
what : Leta
to_do : utuTuu
you (pl) : femaT
to_mean : uLaeLu
by : pi
crushing : ujzohsuLka
my : eLemza
people : kuunim
, : ,
by : pi
grinding : ukzuLTuLka
the : da
face : qofrad
of : asu
the : da
poor (pl) : bauzim 
'? : qqu '?
to_say : ubofu
the : da
Lord : etme
of : asu
hosts : sufduT
. : .
the : da
Lord : etme
to_say (past) : ubofo
' : ' qi
because : qufge
the : da
daughters : titavim
of : asu 
zion : zion
to_be : uamu
